,hw
1,93
2,88
3,76
4,88
5,67
6,97
7,91
8,89
9,94
10,63
11,74
12,91
13,89
14,91
15,90
16,86
17,87
18,92
19,88
20,81
21,81
22,71
23,75
24,84
25,71
26,98
27,92
28,48
29,80
30,85
31,91
32,94
33,88
34,88
35,85
36,93
37,73
38,84
39,84
40,89
41,93
42,92
43,83
44,84
45,83
46,86
47,82
48,0
49,94
50,84
51,93
52,71
53,84
54,84
55,76
56,97
57,84
58,98
59,86
60,83
61,84
62,76
63,93
64,83
65,91
66,75
67,96
68,85
69,86
70,99
71,91
72,87
73,88
74,88
75,0
76,79
77,23
78,85
79,96
80,79
81,79
82,82
83,83
84,88
85,75
86,89
87,92
88,90
89,71
90,86
91,98
92,81
93,80
94,75
95,72
96,98
97,70
98,89
99,96
100,88
101,61
102,83
103,57
104,85
105,88
106,15
107,95
108,84
109,86
110,90
111,92
112,83
113,91
114,78
115,85
116,83
117,85
118,89
119,72
120,"78	"
121,80
122,83
123,94
124,82
125,85
126,60
127,87
128,91
129,93
130,93
131,49
132,78
133,82
134,91
135,87
136,84
137,81
138,90
139,81
140,89
141,95
142,91
143,69
144,86
145,80
146,86
147,90
148,94
149,91
150,80
151,73
152,88
153,44
154,86
155,11
156,92
157,86
158,30
159,"	9"
160,89
161,86
162,73
163,62
164,61
165,90
166,85
167,29
168,89
169,83
170,86
171,82
172,82
173,75
174,78
175,62
176,80
177,84
178,68
179,78
180,76
181,47
182,84
183,77
184,92
185,46
186,85
187,76
188,90
189,71
190,98
191,61
192,76
193,87
194,90
195,86
196,79
197,68
198,78
199,74
200,94
201,83
